"Player","Team","Position","Rk","Status","Opponent","FPts","FP/G","Bye","% Owned"
"Matt Bryant","(N/A)","K","248","FA","Bye","47","6.71","","0%"
"Rodney Gunter","JAX","DT","249","W (Wed)","Bye","47","3.62","null","0%"
"Joe Thomas","(N/A)","LB","250","W (Wed)","Bye","47","3.13","","0%"
"Chester Rogers","(N/A)","WR","251","FA","Bye","46.9","3.91","","0%"
"DeAndre Carter","HOU","WR","252","FA","Bye","46.8","2.92","null","0%"
"Kenjon Barner","(N/A)","RB","253","FA","Bye","46.77","3.34","","0%"
"Taco Charlton","MIA","DE","254","W (Wed)","Bye","46.5","4.65","null","50%"
"Al-Quadin Muhammad","IND","DE","255","W (Wed)","Bye","46.5","2.91","null","25%"
"Andrew Billings","CLE","DT","256","W (Wed)","Bye","46.5","2.91","null","0%"
"B.J. Goodson","CLE","LB","257","W (Wed)","Bye","46.25","3.08","null","25%"
"Reggie Ragland","DET","LB","258","W (Wed)","Bye","46.25","3.3","null","25%"
"Oshane Ximines","NYG","LB","259","W (Wed)","Bye","46.12","2.88","null","25%"
"Jermaine Carter Jr.","CAR","LB","260","W (Wed)","Bye","46.12","2.88","null","0%"
"Jaleel Johnson","MIN","DT","261","W (Wed)","Bye","45.88","2.87","null","0%"
"Jeff Wilson Jr.","SF","RB","262","FA","Bye","45.4","4.54","null","12%"
"Tavon Austin","(N/A)","WR","263","FA","Bye","45.1","3.22","","6%"
"Jarran Reed","SEA","DT","264","W (Wed)","Bye","45","4.5","null","50%"
"Adrian Phillips","NE","S","265","W (Wed)","Bye","45","6.43","null","25%"
"Malik Reed","DEN","LB","266","W (Wed)","Bye","45","3","null","0%"
"Kalen Ballage","MIA","RB","267","FA","Bye","44.8","3.73","null","35%"
"Bless Austin","NYJ","CB","268","W (Wed)","Bye","44.5","6.36","null","0%"
"Ty Montgomery","(N/A)","RB","269","FA","Bye","44","2.75","","6%"
"Delanie Walker","(N/A)","TE","270","FA","Bye","44","6.29","","18%"
"Zach Brown","(N/A)","LB","271","W (Wed)","Bye","43.75","7.29","","0%"
"Wayne Gallman Jr.","NYG","RB","272","FA","Bye","43.7","4.37","null","24%"
"Trey Quinn","WAS","WR","273","FA","Bye","43.7","3.64","null","12%"
"Craig Robertson","NO","LB","274","W (Wed)","Bye","43.5","2.9","null","0%"
"Andrew Wingard","JAX","S","275","W (Wed)","Bye","43.5","2.72","null","0%"
"Justin Jones","LAC","DT","276","W (Wed)","Bye","43.25","3.6","null","25%"
"Jeremy Sprinkle","WAS","TE","277","FA","Bye","43.1","2.69","null","12%"
"Shamar Stephen","MIN","DT","278","W (Wed)","Bye","43","2.87","null","0%"
"Jarius Wright","(N/A)","WR","279","FA","Bye","42.9","2.68","","0%"
"Carl Lawson","CIN","DE","280","W (Wed)","Bye","42.5","3.54","null","25%"
"Chris Jones","ARI","CB","281","W (Wed)","Bye","42.5","3.86","null","0%"
"Nevin Lawson","LV","CB","282","W (Wed)","Bye","42.5","3.86","null","0%"
"Shy Tuttle","NO","DT","283","W (Wed)","Bye","42.5","2.66","null","0%"
"Demetrius Harris","CHI","TE","284","FA","Bye","42.4","2.83","null","6%"
"Romeo Okwara","DET","DE","285","W (Wed)","Bye","42.38","3.03","null","0%"
"Matt Moore","(N/A)","QB","286","FA","Bye","42.26","7.04","","0%"
"Troy Apke","WAS","S","287","W (Wed)","Bye","42","2.8","null","0%"
"Terrence Brooks","NE","S","288","W (Wed)","Bye","42","2.8","null","0%"
"Nate Hairston","NYJ","CB","289","W (Wed)","Bye","42","3.82","null","0%"
"Darius Phillips","CIN","CB","290","W (Wed)","Bye","41.75","5.22","null","0%"
"Stephen Weatherly","CAR","DE","291","W (Wed)","Bye","41.5","2.59","null","50%"
"Najee Goode","(N/A)","LB","292","W (Wed)","Bye","41.5","4.15","","0%"
"Steven Parker","MIA","S","293","W (Wed)","Bye","41.5","2.96","null","0%"
"Elandon Roberts","MIA","LB","294","W (Wed)","Bye","41.5","2.59","null","0%"
"Deatrich Wise Jr.","NE","DE","295","W (Wed)","Bye","41.25","2.95","null","0%"
"Jaron Brown","(N/A)","WR","296","FA","Bye","41","2.93","","0%"
"Trey Marshall","DEN","S","297","W (Wed)","Bye","41","2.56","null","0%"
"Dawuane Smoot","JAX","DE","298","W (Wed)","Bye","41","2.56","null","0%"
"DeMarcus Walker","DEN","DE","299","W (Wed)","Bye","41","4.1","null","0%"
"Darious Williams","LAR","CB","300","W (Wed)","Bye","41","3.42","null","0%"
"Trumaine Johnson","(N/A)","CB","301","W (Wed)","Bye","40.75","5.82","","0%"
"Kyle Juszczyk","SF","RB","302","FA","Bye","40.6","3.38","null","6%"
"Christian Covington","DAL","DT","303","W (Wed)","Bye","40.25","2.52","null","0%"
"Amani Oruwariye","DET","CB","304","W (Wed)","Bye","40.25","4.47","null","0%"
"Adrian Clayborn","CLE","DE","305","W (Wed)","Bye","40","2.67","null","0%"
"Cameron Sutton","PIT","CB","306","W (Wed)","Bye","39.75","2.48","null","0%"
"Brandon Wilson","CIN","S","307","W (Wed)","Bye","39.75","3.31","null","0%"
"Bilal Nichols","CHI","DT","308","W (Wed)","Bye","39.5","3.04","null","0%"
"Trey Hendrickson","NO","DE","309","W (Wed)","Bye","39.38","3.03","null","0%"
"Maliek Collins","LV","DT","310","W (Wed)","Bye","39.25","2.45","null","25%"
"Star Lotulelei","BUF","DT","311","W (Wed)","Bye","39.25","2.45","null","0%"
"Jeremiah Attaochu","DEN","LB","312","W (Wed)","Bye","39.12","3.26","null","0%"
"Folorunso Fatukasi","NYJ","DT","313","W (Wed)","Bye","39","2.79","null","0%"
"Eddie Goldman","CHI","DT","314","W (Wed)","Bye","39","2.6","null","0%"
"Tye Smith","(N/A)","CB","315","W (Wed)","Bye","39","4.33","","0%"
"Jack Crawford","TEN","DE","316","W (Wed)","Bye","38.88","2.43","null","0%"
